Malawi,2007/08,9242,29864,907,875,13699,13101,0,16,1728,69431,184,69616,,,,,
Malawi,2008/09,16827,30535,712,979,14054,13980,0,126,80,77292,0,77292,,,,,
Mali,2004/05,0,37,0,0,56,0,0,0,0,93,0,93,,,,,
Mali,2005/06,0,87,0,0,87,0,0,0,550,724,0,724,,,,,
Mali,2006/07,0,31,0,0,31,0,0,0,0,62,2091,2153,,,,,
Mali,2007/08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Mali,2008/09,1104,0,0,0,0,0,0,0,0,1104,0,1104,,,,,
Mauritania,2004/05,215,0,0,0,0,0,0,0,0,215,0,215,,,,,
Mauritania,2005/06,58,0,0,0,0,0,0,0,0,58,0,58,,,,,
Mauritania,2006/07,1315,0,0,0,0,0,0,0,250,1565,0,1565,,,,,
Mauritania,2007/08,59,0,0,0,0,0,0,0,-4,55,38,93,,,,,
Mauritania,2008/09,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Mauritius,2004/05,0,0,0,0,0,0,0,0,0,0,112,112,,,,,
Mauritius,2005/06,0,0,0,0,0,0,0,0,0,0,78,78,,,,,
Mauritius,2006/07,0,0,0,0,0,0,0,0,0,0,18,18,,,,,
Mauritius,2007/08,0,0,0,0,16,0,0,0,0,16,0,16,,,,,
Mauritius,2008/09,0,0,0,0,13,0,0,0,0,13,0,13,,,,,
Mayotte,2004/05,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Mayotte,2005/06,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Mayotte,2006/07,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Mayotte,2007/08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Mayotte,2008/09,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Morocco,2004/05,0,0,0,0,0,0,0,0,72,72,-0,71,,,,,
Morocco,2005/06,0,0,0,0,0,0,0,0,1,1,0,1,,,,,
Morocco,2006/07,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Morocco,2007/08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Morocco,2008/09,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Mozambique,2004/05,11274,15794,1014,0,16010,3546,0,12,16,47665,276,47941,,,,,
Mozambique,2005/06,15216,16724,1147,0,17380,4004,1775,43,235,56524,16,56540,,,,,
Mozambique,2006/07,17987,12169,1092,0,17732,4284,500,5,515,54283,1990,56273,,,,,
Mozambique,2007/08,18880,24026,1295,26,17678,5316,124,82,183,67611,-30,67580,,,,,
Mozambique,2008/09,15270,18860,2789,34,19460,6666,507,85,1754,65425,70,65495,,,,,
Namibia,2004/05,23,11,22,0,484,549,0,0,0,1089,112,1201,,,,,
Namibia,2005/06,0,14,39,0,252,596,0,0,0,902,7,909,,,,,
Namibia,2006/07,0,26,43,0,149,289,0,0,0,508,0,508,,,,,
Namibia,2007/08,0,89,33,0,247,0,0,0,50,418,0,418,,,,,
Namibia,2008/09,0,66,-0,0,468,0,0,0,0,535,0,535,,,,,
Niger,2004/05,308,0,0,0,28,31,0,0,0,367,3008,3375,,,,,
Niger,2005/06,66,0,0,0,79,0,0,0,3199,3345,0,3345,,,,,
Niger,2006/07,0,0,0,0,379,0,0,0,1131,1509,732,2241,,,,,
Niger,2007/08,0,522,183,0,64,0,0,0,1272,2041,0,2041,,,,,
Niger,2008/09,2993,4291,39,0,0,0,0,0,223,7546,0,7546,,,,,
Nigeria,2004/05,3995,19717,0,2560,15795,3132,447,114,68,45828,1009,46837,,,,,
Nigeria,2005/06,9816,27316,0,3805,26792,6473,1779,357,727,77065,973,78038,,,,,
Nigeria,2006/07,7063,32687,110,4698,27374,7153,765,745,138,80733,820,81553,,,,,
Nigeria,2007/08,8929,38739,254,5413,22701,6816,1051,1033,0,84936,328,85264,,,,,
Nigeria,2008/09,9980,52664,494,2250,31394,11921,0,1650,9,110362,120,110482,,,,,
Rwanda,2004/05,9591,3944,3580,1370,13713,9322,343,308,9,42179,328,42507,,,,,
Rwanda,2005/06,16363,7039,5627,2170,23572,14424,543,141,0,69879,543,70422,,,,,
Rwanda,2006/07,4547,1690,247,332,7438,1995,0,116,93,16458,301,16759,,,,,
Rwanda,2007/08,8123,9737,4433,1320,18299,9974,730,1,0,52616,0,52616,,,,,
Rwanda,2008/09,26235,4772,7812,1320,17818,10833,330,961,0,70081,0,70081,,,,,
Sao Tome & Principe,2004/05,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sao Tome & Principe,2005/06,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sao Tome & Principe,2006/07,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sao Tome & Principe,2007/08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sao Tome & Principe,2008/09,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Senegal,2004/05,0,53,0,0,0,0,0,0,0,53,1,54,,,,,
Senegal,2005/06,0,0,0,0,0,0,0,0,0,0,1532,1532,,,,,
Senegal,2006/07,0,0,0,0,0,0,0,0,0,0,2383,2383,,,,,
Senegal,2007/08,0,0,0,0,61,0,0,0,0,61,1029,1090,,,,,
Senegal,2008/09,0,0,0,0,163,0,0,0,0,163,0,163,,,,,
Seychelles,2004/05,0,0,0,0,0,0,0,0,0,0,10,10,,,,,
Seychelles,2005/06,0,0,0,0,0,0,0,0,0,0,9,9,,,,,
Seychelles,2006/07,0,0,0,0,0,0,0,0,0,0,9,9,,,,,
Seychelles,2007/08,0,0,0,0,7,0,0,0,0,7,0,7,,,,,
Seychelles,2008/09,0,0,0,0,5,0,0,0,0,5,0,5,,,,,
Sierra Leone,2004/05,2626,1758,1263,720,12653,5077,1,0,0,24099,3180,27279,,,,,
Sierra Leone,2005/06,3201,1669,995,900,18437,7475,0,80,0,32756,1382,34138,,,,,
Sierra Leone,2006/07,2668,1544,2494,4950,16712,7598,14,1,0,35980,1656,37636,,,,,
Sierra Leone,2007/08,3576,2142,1126,1998,29943,15165,12,0,0,53962,108,54070,,,,,
Sierra Leone,2008/09,4332,5857,1150,2196,23336,10910,0,0,0,47782,0,47782,,,,,
Somalia,2004/05,576,710,0,0,977,180,0,131,3130,5704,116,5820,,,,,
Somalia,2005/06,784,217,100,0,1782,125,0,9,14265,17282,1471,18753,,,,,
Somalia,2006/07,1527,405,154,0,6614,1000,0,16,6905,16621,21,16643,,,,,
Somalia,2007/08,2005,1123,49,66,9322,0,0,77,13044,25687,37,25724,,,,,
Somalia,2008/09,5045,4205,183,472,5609,1508,8,114,16153,33296,184,33480,,,,,
South Africa,2004/05,8267,6432,551,0,6454,5254,2824,518,0,30300,214,30514,,,,,
South Africa,2005/06,5449,6013,1551,0,6156,4564,4501,661,0,28896,82,28978,,,,,
South Africa,2006/07,5304,5252,3708,53,3969,4508,1590,646,0,25031,-0,25031,,,,,
South Africa,2007/08,3547,10202,1942,0,4675,4199,1613,1122,0,27300,0,27300,,,,,
South Africa,2008/09,1663,20279,1801,0,6823,7362,62,2241,447,40679,0,40679,,,,,
St Helena & Dependencies,2004/05,4168,1068,180,316,690,2275,102,0,40,8839,5641,14481,,,,,
St Helena & Dependencies,2005/06,3952,1308,185,141,964,1306,73,80,59,8068,5495,13564,,,,,
St Helena & Dependencies,2006/07,4884,1052,183,111,1032,1840,92,120,-9,9306,6386,15692,,,,,
St Helena & Dependencies,2007/08,4546,1569,76,84,2137,1670,166,113,0,10360,7190,17550,,,,,
St Helena & Dependencies,2008/09,6315,2202,0,148,10327,14092,2505,149,0,35738,0,35738,,,,,
Sudan,2004/05,87,3701,1670,3,9724,0,0,764,58990,74939,9024,83964,,,,,
Sudan,2005/06,448,2698,4054,689,17137,0,0,0,80611,105636,11478,117114,,,,,
Sudan,2006/07,856,2723,5325,1029,15488,0,0,0,75883,101304,8558,109862,,,,,
Sudan,2007/08,5002,4948,5958,2004,40552,1537,0,228,74152,134380,343,134723,,,,,
Sudan,2008/09,2315,2948,3466,2535,39676,6250,221,170,48178,105760,80,105840,,,,,
Swaziland,2004/05,0,0,0,239,3,126,0,0,6,374,291,665,,,,,
Swaziland,2005/06,0,0,0,218,0,0,0,0,300,518,38,556,,,,,
Swaziland,2006/07,0,0,0,27,0,89,0,0,0,116,20,136,,,,,
